TF,activity,pvalue,FDR,direction
TFAP2A,0.6585049031228533,0.8010657429695129,0.9961943348185927,activated_in_AD
ZNF335,0.6530268868968063,0.8033527731895447,0.9961943348185927,activated_in_AD
NKX6-1,0.6503870897977182,0.8033527731895447,0.9961943348185927,activated_in_AD
NCOA1,0.6406939208059776,0.8077001571655273,0.9961943348185927,activated_in_AD
SIRT1,0.638900402012624,0.8077001571655273,0.9961943348185927,activated_in_AD
ZBTB16,0.6382854485993077,0.8077001571655273,0.9961943348185927,activated_in_AD
HOXC8,0.6187745106407391,0.8202519416809082,0.9961943348185927,activated_in_AD
THRB,0.6179002380960977,0.8202519416809082,0.9961943348185927,activated_in_AD
EWSR1,0.6160845879749539,0.8202519416809082,0.9961943348185927,activated_in_AD
AHR,0.6056716991774694,0.8268188834190369,0.9961943348185927,activated_in_AD
PHOX2A,0.5934286595946103,0.8352383375167847,0.9961943348185927,activated_in_AD
ETS2,0.5875425965102257,0.8372390866279602,0.9961943348185927,activated_in_AD
EZH2,0.574673092128912,0.8466018438339233,0.9961943348185927,activated_in_AD
ZNF236,0.5743713214962339,0.8466018438339233,0.9961943348185927,activated_in_AD
NR2F2,0.5678370848127305,0.8474037051200867,0.9961943348185927,activated_in_AD
TFDP3,0.5677113943694615,0.8474037051200867,0.9961943348185927,activated_in_AD
JUNB,0.5635822370164584,0.8495998978614807,0.9961943348185927,activated_in_AD
RUNX3,0.5586461827098286,0.8526101112365723,0.9961943348185927,activated_in_AD
ZNF436,0.5498561870943968,0.8560982942581177,0.9961943348185927,activated_in_AD
NFIB,0.5491389355507263,0.8560982942581177,0.9961943348185927,activated_in_AD
ZXDC,0.5430731002886005,0.8560982942581177,0.9961943348185927,activated_in_AD
HOXD3,0.5395900691067441,0.8560982942581177,0.9961943348185927,activated_in_AD
TEAD4,0.5326991188369112,0.8591089248657227,0.9961943348185927,activated_in_AD
PHF20,0.5269975597949829,0.8628720045089722,0.9961943348185927,activated_in_AD
HNF1A,0.521994349371283,0.8645843267440796,0.9961943348185927,activated_in_AD
