"gene","baseMean","log2FC_raw","log2FC_shrunk","lfcSE","pvalue","padj","direction"
"CDC14B",133.614325099867,-1.43058423871738,-0.371123938784303,0.675764385052858,0.0342609736616896,0.999997691821602,"down_in_AD"
"CDC14C",67.5293981566705,-0.56532401392827,-0.115262081863183,0.816278996335537,0.488584310984272,0.999997691821602,"down_in_AD"
"CDC16",500.228872881221,0.0458317684837207,0.0346676057607078,0.2386840634267,0.84772767264993,0.999997691821602,"up_in_AD"
"CDC20",111.204931247725,0.323551671208316,0.115470167869004,0.567778120376994,0.568775486212137,0.999997691821602,"up_in_AD"
"CDC23",303.342092829353,0.100052855027663,0.0514374492279039,0.409364570473433,0.806913183529847,0.999997691821602,"up_in_AD"
"CDC25A",91.728792544626,0.369013986350278,0.0832537323556146,0.785181950063123,0.638374608374335,0.999997691821602,"up_in_AD"
"CDC25B",323.28876186914,0.168751480908319,0.0649529629558157,0.533225055709385,0.751643305285044,0.999997691821602,"up_in_AD"
"CDC25C",22.777182136029,0.167387252195723,0.0227959433452284,1.0630207182143,0.874879357287611,0.999997691821602,"up_in_AD"
"CDC26",146.315041906796,-0.192844292656814,-0.104099147843698,0.387366708575519,0.618601095530876,0.999997691821602,"down_in_AD"
"CDC27",1011.34763553662,0.147009743936286,0.110843793347274,0.240375440566247,0.540813107903515,0.999997691821602,"up_in_AD"
"CDC34",198.10808657287,0.0713780960406771,0.045418604929883,0.317935528913766,0.822364425416193,0.999997691821602,"up_in_AD"
"CDC37",977.379462364016,0.211084247833253,0.173191850683313,0.196844806444242,0.283568058125826,0.999997691821602,"up_in_AD"
"CDC37L1",123.956246933286,0.452956021903365,0.252660582504583,0.376128536128117,0.228489645301049,0.999997691821602,"up_in_AD"
"CDC40",517.86751069035,0.168183590418321,0.132545310556561,0.218181973765378,0.440801237342906,0.999997691821602,"up_in_AD"
"CDC42",3633.69885606288,-0.0237803484658907,-0.0204294055616254,0.170230809401678,0.888901183425047,0.999997691821602,"down_in_AD"
"CDC42BPA",786.282131908705,-0.43442767870493,-0.167543849682984,0.525061326894473,0.408019081834343,0.999997691821602,"down_in_AD"
"CDC42BPB",899.26717520548,0.0850390662711885,0.0650467215111477,0.233204554346135,0.715369403340839,0.999997691821602,"up_in_AD"
"CDC42BPG",99.7411887456162,0.256793338353744,0.12973014290082,0.417352208175858,0.538362115824898,0.999997691821602,"up_in_AD"
"CDC42EP1",11.4698630961151,-1.37905293454426,-0.0904238356097745,1.50007711079777,0.357927506882362,0.999997691821602,"down_in_AD"
"CDC42EP3",946.567346268317,0.48419574836256,0.208925765529811,0.486350963267334,0.31945979688433,0.999997691821602,"up_in_AD"
"CDC42EP4",29.6706950831016,0.215332571542053,0.0472393077285026,0.794919643166204,0.78647874289366,0.999997691821602,"up_in_AD"
"CDC42SE1",2193.89618156805,-0.125752686060575,-0.106589900469654,0.17811469297976,0.480175174418018,0.999997691821602,"down_in_AD"
"CDC42SE2",1213.09346496764,-0.163976676411887,-0.138015610080884,0.182148517115254,0.367994601811806,0.999997691821602,"down_in_AD"
"CDC45",68.8609993858039,1.04684237307073,0.146487167769419,1.05832681694938,0.322590496030603,0.999997691821602,"up_in_AD"
"CDC5L",585.068200157438,0.226624827838782,0.165494349329365,0.255966807587382,0.375958170060859,0.999997691821602,"up_in_AD"
"CDC6",146.776639567727,0.369800138140364,0.0636960614461937,0.929689369513075,0.690801637966164,0.999997691821602,"up_in_AD"
"CDC7",74.2844099845836,0.486217707170123,0.199734351034443,0.507358578805243,0.33789562528746,0.999997691821602,"up_in_AD"
"CDC73",658.099137581119,-0.245891744295204,-0.198331939200717,0.205576798263384,0.231655002084297,0.999997691821602,"down_in_AD"
